state	latitude	longitude	name	population	populationDensity
AK	63.588753	-154.493062	Alaska	731,545	2
AL	32.318231	-86.902298	Alabama	4,903,185	97
AR	35.20105	-91.831833	Arkansas	3,017,825	58
AZ	34.048928	-111.093731	Arizona	7,278,717	64
CA	36.778261	-119.417932	California	39,512,223	254
CO	39.550051	-105.782067	Colorado	5,758,736	56
CT	41.603221	-73.087749	Connecticut	3,565,287	737
DC	38.905985	-77.033418	District of Columbia	705,749	11,569
DE	38.910832	-75.52767	Delaware	973,764	500
FL	27.664827	-81.515754	Florida	21,477,737	401
GA	32.157435	-82.907123	Georgia	10,617,423	185
HI	19.898682	-155.665857	Hawaii	1,415,872	220
IA	41.878003	-93.097702	Iowa	3,155,070	56
ID	44.068202	-114.742041	Idaho	1,787,065	22
IL	40.633125	-89.398528	Illinois	12,671,821	228
IN	40.551217	-85.602364	Indiana	6,732,219	188
KS	39.011902	-98.484246	Kansas	2,913,314	35
KY	37.839333	-84.270018	Kentucky	4,467,673	113
LA	31.244823	-92.145024	Louisiana	4,467,673	108
MA	42.407211	-71.382437	Massachusetts	6,949,503	883
MD	39.045755	-76.641271	Maryland	6,045,680	623
ME	45.253783	-69.445469	Maine	1,344,212	44
MI	44.314844	-85.602364	Michigan	9,986,857	177
MN	46.729553	-94.6859	Minnesota	5,639,632	71
MO	37.964253	-91.831833	Missouri	6,137,428	89
MS	32.354668	-89.398528	Mississippi	2,976,149	63
MT	46.879682	-110.362566	Montana	1,068,778	7
NC	35.759573	-79.0193	North Carolina	10,488,084	216
ND	47.551493	-101.002012	North Dakota	762,062	11
NE	41.492537	-99.901813	Nebraska	1,934,408	25
NH	43.193852	-71.572395	New Hampshire	1,359,711	152
NJ	40.058324	-74.405661	New Jersey	8,882,190	1,207
NM	34.97273	-105.032363	New Mexico	2,096,829	17
NV	38.80261	-116.419389	Nevada	3,080,156	28
NY	43.299428	-74.217933	New York	19,453,561	413
OH	40.417287	-82.907123	Ohio	11,689,100	286
OK	35.007752	-97.092877	Oklahoma	3,956,971	58
OR	43.804133	-120.554201	Oregon	4,217,737	44
PA	41.203322	-77.194525	Pennsylvania	12,801,989	286
PR	18.220833	-66.590149	Puerto Rico	3,193,694	932
RI	41.580095	-71.477429	Rhode Island	1,059,361	1,024
SC	33.836081	-81.163725	South Carolina	5,148,714	171
SD	43.969515	-99.901813	South Dakota	884,659	12
TN	35.517491	-86.580447	Tennessee	6,833,174	166
TX	31.968599	-99.901813	Texas	28,995,881	111
UT	39.32098	-111.093731	Utah	3,205,958	39
VA	37.431573	-78.656894	Virginia	8,535,519	216
VT	44.558803	-72.577841	Vermont	623,989	68
WA	47.751074	-120.740139	Washington	7,614,893	115
WI	43.78444	-88.787868	Wisconsin	5,822,434	107
WV	38.597626	-80.454903	West Virginia	1,792,147	75
WY	43.075968	-107.290284	Wyoming	578,759	6
